name,ticker,market,sector
Nilkamal Limited,NILKAMAL,NSE,Consumer durables
Nimbus Projects Limited,NIMBSPROJ,BSE,Finance
NINtec Systems Ltd,NINSYS,NSE,Technology services
Indo National Limited,NIPPOBATRY,NSE,Producer manufacturing
Niraj Cement Structurals Limited,NIRAJ,NSE,Industrial services
Niraj Ispat Industries Ltd,NIRAJISPAT,NSE,Producer manufacturing
Nirav Commercials Limited,NIRAVCOM,BSE,Non-energy minerals
Nirlon Limited,NIRLON,BSE,Finance
Nirman Agri Genetics Ltd.,NIRMAN,NSE,Process industries
Nis Management Limited,NISMGMT,BSE,Commercial services
Nisus Finance Services Co. Ltd.,NISUS,BSE,Finance
Nitco Limited,NITCO,NSE,Producer manufacturing
Nitin Castings Ltd,NITINCAST,BSE,Non-energy minerals
Nitin Spinners Limited,NITINSPIN,NSE,Process industries
Nitiraj Engineers Ltd.,NITIRAJ,NSE,Electronic technology
Nitta Gelatin India Limited,NITTAGELA,BSE,Consumer non-durables
Niva Bupa Health Insurance Company Limited,NIVABUPA,NSE,Finance
Nivaka Fashions Ltd.,NIVAKA,BSE,Distribution services
Niyogin Fintech Ltd,NIYOGIN,BSE,Finance
N.K. Industries Ltd.,NKIND,NSE,Process industries
NLC India Limited,NLCINDIA,NSE,Utilities
Nalin Lease Finance Limited,NLFL,BSE,Finance
NMDC Limited,NMDC,NSE,Non-energy minerals
NMS Global Ltd,NMSRESRC,BSE,Distribution services
Newmalayalam Steel Limited,NMSTEEL,NSE,Non-energy minerals
N2N Technologies Ltd.,NNTL,BSE,Technology services
NOCIL Limited,NOCIL,NSE,Process industries
Neogem India Limited,NOGMIND,BSE,Consumer durables
Noida Toll Bridge Co. Ltd.,NOIDATOLL,NSE,Commercial services
National Oxygen Limited,NOL,BSE,Process industries
Norben Tea & Exports Ltd.,NORBTEAEXP,NSE,Consumer non-durables
Norris Medicines Ltd.,NORRIS,BSE,Health technology
Northern Arc Capital Ltd.,NORTHARC,NSE,Finance
Northlink Fiscal and Capital Services Ltd,NORTHLINK,BSE,Commercial services
Nouveau Global Ventures Limited,NOUVEAU,BSE,Finance
Nova Agritech Limited,NOVAAGRI,NSE,Process industries
Novateor Research Laboratories Ltd.,NOVATEOR,BSE,Health technology
Novelix Pharmaceuticals Ltd,NOVELIX,BSE,Health technology
Nova Iron & Steel Ltd.,NOVIS,BSE,Non-energy minerals
Neopolitan Pizza and Foods Limited,NPFL,BSE,Distribution services
NPL Chemicals Limited,NPL,BSE,Process industries
NPR Finance Ltd.,NPRFIN,BSE,Finance
Network People Services Technologies Limited,NPST,NSE,Technology services
NR Agarwal Industries Ltd.,NRAIL,NSE,Process industries
NRB Bearings Ltd.,NRBBEARING,NSE,Producer manufacturing
Nupur Recyclers Limited,NRL,NSE,Non-energy minerals
N R Vandana Tex Industries Limited,NRVANDANA,NSE,Consumer non-durables
National Securities Depository Limited,NSDL,BSE,Finance
Nalwa Sons Investments Limited,NSIL,NSE,Finance
Northern Spirits Ltd.,NSL,BSE,Consumer non-durables
NMDC Steel Limited,NSLNISP,NSE,Non-energy minerals
NTC Industries Limited,NTCIND,BSE,Consumer non-durables
NTPC Limited,NTPC,NSE,Utilities
NTPC Green Energy Limited,NTPCGREEN,NSE,Utilities
Nucleus Software Exports Limited,NUCLEUS,NSE,Technology services
Nukleus Office Solutions Ltd.,NUKLEUS,BSE,Finance
Nureca Ltd.,NURECA,NSE,Health technology
Nutech Global Limited,NUTECGLOB,BSE,Process industries
NutriCircle Limited,NUTRICIRCLE,BSE,Health technology
Nuvama Wealth Management Limited,NUVAMA,NSE,Finance
Nuvoco Vistas Corporation Limited,NUVOCO,NSE,Non-energy minerals
Nanavati Ventures Limited,NVENTURES,BSE,Distribution services
FSN E-Commerce Ventures Ltd.,NYKAA,NSE,Retail trade
Nyssa Corp. Ltd.,NYSSACORP,BSE,Consumer durables
Oriental Aromatics Ltd.,OAL,NSE,Process industries
Oasis Securities Limited,OASISEC,BSE,Finance
Orissa Bengal Carrier Ltd.,OBCL,NSE,Transportation
Oberoi Realty Limited,OBEROIRLTY,NSE,Finance
OBSC Perfection Ltd.,OBSCP,NSE,Producer manufacturing
OCCL Limited,OCCLLTD,NSE,Process industries
Oceanic Foods Ltd.,OCEANIC,BSE,Consumer non-durables
Octal Credit Capital Ltd,OCTAL,BSE,Finance
Perfect-Octave Media Projects Limited,OCTAVE,BSE,Consumer services
Octavius Plantations Ltd,OCTAVIUSPL,BSE,Process industries
Odigma Consultancy Solutions Limited,ODIGMA,NSE,Technology services
Odyssey Corporation Limited,ODYCORP,BSE,Consumer services
Odyssey Technologies Limited,ODYSSEY,BSE,Technology services
Oracle Financial Services Software Limited,OFSS,NSE,Technology services
Oil India Limited,OIL,NSE,Energy minerals
Oil Country Tubular Limited,OILCOUNTUB,NSE,Industrial services
Onesource Industries & Ventures Ltd,OIVL,BSE,Finance
OK Play India Ltd.,OKPLA,BSE,Consumer durables
Ola Electric Mobility Limited,OLAELEC,NSE,Consumer durables
Olatech Solutions Ltd.,OLATECH,BSE,Technology services
Olectra Greentech Limited,OLECTRA,NSE,Consumer durables
Oneclick Logistics India Limited,OLIL,NSE,Transportation
Olympic Cards Limited,OLPCL,BSE,Consumer non-durables
Olympia Industries Ltd.,OLYMPTX,BSE,Process industries
Olympic Oil Industries Ltd.,OLYOI,BSE,Distribution services
Omansh Enterprises Ltd,OMANSH,BSE,Distribution services
Omax Autos Limited,OMAXAUTO,NSE,Producer manufacturing
Omaxe Limited,OMAXE,NSE,Finance
Omega Ag-Seeds (Punjab) Ltd.,OMEAG,BSE,Process industries
Omega Interactive Technologies Limited,OMEGAIN,BSE,Technology services
Omfurn India Ltd.,OMFURN,NSE,Producer manufacturing
Om Infra Limited,OMINFRAL,NSE,Industrial services
Omkar Overseas Limited,OMKAR,BSE,Process industries
Omkar Speciality Chemicals Limited,OMKARCHEM,NSE,Process industries
Omkar Pharmachem Ltd.,OMKARPH,BSE,Process industries
Omni Ax's Software Ltd.,OMNIAX,BSE,Technology services
Omnipotent Industries Ltd.,OMNIPOTENT,BSE,Non-energy minerals
Omnitex Industries (India) Limited,OMNITEX,BSE,Process industries
On Door Concepts Limited,ONDOOR,NSE,Retail trade
One Global Service Provider Ltd.,ONEGLOBAL,BSE,Commercial services
Onelife Capital Advisors Limited,ONELIFECAP,NSE,Finance
One Point One Solutions Ltd.,ONEPOINT,NSE,Commercial services
OneSource Specialty Pharma Limited,ONESOURCE,NSE,Health technology
Oil & Natural Gas Corp. Ltd.,ONGC,NSE,Energy minerals
Onix Solar Energy Ltd.,ONIXSOLAR,BSE,Producer manufacturing
OnMobile Global Limited,ONMOBILE,NSE,Communications
Ontic Finserve Ltd.,ONTIC,BSE,Finance
Onward Technologies Limited,ONWARDTEC,NSE,Technology services
Onyx Biotec Ltd.,ONYX,NSE,Health technology
ObjectOne Information Systems Ltd.,OONE,BSE,Technology services
Optiemus Infracom Limited,OPTIEMUS,NSE,Distribution services
Optimus Finance Ltd,OPTIFIN,BSE,Distribution services
Optivalue Tek Consulting Limited,OPTIVALUE,NSE,Technology services
Orbit Exports Ltd,ORBTEXP,NSE,Process industries
Orchasp Ltd,ORCHASP,NSE,Technology services
Orchid Pharma Limited,ORCHPHARMA,NSE,Health technology
Organic Recycling Systems Limited,ORGANICREC,BSE,Industrial services
Organic Coatings Limited,ORGCOAT,BSE,Process industries
Oriana Power Limited,ORIANA,NSE,Industrial services
Orient Beverages Ltd.,ORIBEVER,BSE,Consumer non-durables
Oricon Enterprises Limited,ORICONENT,NSE,Producer manufacturing
Oriental Trimex Limited,ORIENTALTL,NSE,Non-energy minerals
Orient Bell Limited,ORIENTBELL,NSE,Producer manufacturing
Orient Cement Ltd.,ORIENTCEM,NSE,Non-energy minerals
Orient Ceratech Ltd,ORIENTCER,NSE,Non-energy minerals
Orient Electric Ltd.,ORIENTELEC,NSE,Consumer durables
Oriental Hotels Limited,ORIENTHOT,NSE,Consumer services
Orient Press Limited,ORIENTLTD,NSE,Process industries
Orient Paper & Industries Ltd.,ORIENTPPR,NSE,Process industries
Orient Technologies Limited,ORIENTTECH,NSE,Technology services
Orient Tradelink Ltd.,ORIENTTR,BSE,Consumer services
Oriental Rail Infrastructure Ltd.,ORIRAIL,BSE,Producer manufacturing
Orissa Minerals Development Company Limited,ORISSAMINE,NSE,Non-energy minerals
Orosil Smiths India Limited,OROSMITHS,BSE,Consumer durables
Ortel Communications Limited,ORTEL,NSE,Consumer services
Ortin Global Ltd,ORTINGLOBE,NSE,Health technology
Oscar Global Limited.,OSCARGLO,BSE,Process industries
Osel Devices Limited,OSELDEVICE,NSE,Health technology
Osia Hyper Retail Limited,OSIAHYPER,NSE,Retail trade
Osiajee Texfab Ltd.,OSIAJEE,BSE,Process industries
Oswal Agro Mills Ltd.,OSWALAGRO,NSE,Finance
Oswal Greentech Ltd.,OSWALGREEN,NSE,Finance
Oswal Overseas Ltd.,OSWALOR,BSE,Process industries
Oswal Pumps Limited,OSWALPUMPS,NSE,Producer manufacturing
ShreeOswal Seeds & Chemicals Ltd.,OSWALSEEDS,NSE,Process industries
Oswal Yarns Ltd,OSWAYRN,BSE,Process industries
OTCO International Ltd.,OTCO,BSE,Technology services
Oval Projects Engineering Limited,OVAL,BSE,Industrial services
Ovobel Foods Ltd,OVOBELE,BSE,Consumer non-durables
Owais Metal & Mineral Processing Ltd.,OWAIS,NSE,Process industries
Oxford Industries Limited,OXFORDIN,BSE,Consumer non-durables
Oxygenta Pharmaceutical Limited,OXYGENTAPH,BSE,Health technology
Pace E-Commerce Ventures Ltd.,PACE,BSE,Retail trade
Pacific Industries Ltd.,PACIFICI,BSE,Non-energy minerals
Padmanabh Alloys & Polymers Ltd,PADALPO,BSE,Process industries
Padam Cotton Yarns Ltd.,PADAMCO,BSE,Commercial services
Padmanabh Industries Limited,PADMAIND,BSE,Distribution services
Padmalaya Telefilms Limited,PADMALAYAT,BSE,Consumer services
Page Industries Limited,PAGEIND,NSE,Consumer non-durables
Paisalo Digital Ltd.,PAISALO,NSE,Finance
Pakka Ltd,PAKKA,NSE,Process industries
Palash Securities Ltd.,PALASHSECU,NSE,Consumer non-durables
Palco Metals Ltd,PALCO,BSE,Distribution services
Palm Jewels Ltd.,PALMJEWELS,BSE,Consumer durables
Palred Technologies Limited,PALREDTEC,NSE,Distribution services
Panabyte Technologies Ltd,PANABYTE,BSE,Process industries
Panacea Biotec Limited,PANACEABIO,NSE,Health technology
